prefix	count	examples
Протокол показаний Н А	1	Протокол показаний Н.А. Угланова
Протокол показаний Т Р	1	Протокол показаний Т.Р. Левиной
Протокол разговора Ем Ярославского	1	Протокол разговора Ем. Ярославского с Г.Е. Зиновьевым
Рапорт И М Кедрова	1	Рапорт И.М. Кедрова Б.Д. Берману о показаниях Б.А. Кушнера
Сообщение А Я Вышинского	1	Сообщение А.Я. Вышинского И.В. Сталину относительно записки Г.Г. Ягоды о троцкистах
Сообщение Агранова 31 декабря	1	Сообщение Агранова 31 декабря 1934
Сообщение М М Малинова	1	Сообщение М.М. Малинова И.В. Сталину о самоубийстве Н.Н. Колотилина с приложением предсмертных записок
Сообщение ОО ГУГБ НКВД	1	Сообщение ОО ГУГБ НКВД о реакции сотрудников германского посольства в Москве на судебный процесс августа 1936 г.
Сообщение секретаря Горьковского крайкома	1	Сообщение секретаря Горьковского крайкома ВКП(б) А.Н. Бурова Н.И. Ежову о раскрытии троцкистской организации
Спецсообщения Г Г Ягоды	1	Спецсообщения Г.Г. Ягоды И.В. Сталину и Н.И. Ежову с приложением протокола допроса Г.Я. Сокольникова
Стихотворения Н И Бухарина	1	Стихотворения Н.И. Бухарина на смерть Г.К. Орджоникидзе, посланные И.В. Сталину
Телеграмма Л С Сосновского	1	Телеграмма Л.С. Сосновского И.В. Сталину
Телеграммы Н Н Алексеева	1	Телеграммы Н.Н. Алексеева Г.Г. Ягоде и другим из Новосибирска о следствии по делу правых
Фрагмент протокола общего закрытого	1	Фрагмент протокола общего закрытого собрания парторганизации ИККИ совместо с комсомольской организацией ИККИ
Шифровка Р И Эйхе	1	Шифровка Р.И. Эйхе в ЦК ВКП(б) Г.М. Маленкову и Н.И. Ежову
Шифртелеграмма И М Майского	1	Шифртелеграмма И.М. Майского в НКИД и Политбюро ЦК о поездке Д. Колларда в СССР
