person	process	process_kind	document_count	documents
Г.Г. Ягода	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	48	4269 | 4272 | 5677 | 5683 | 5685 | 5707 | 5713 | 5719 | 5722 | 5729 | 5732 | 5736 | 5740 | 5741 | 5746 | 5747 | 5750 | 5767 | 5773 | 5794 | 5797 | 5798 | 5800 | 5804 | 5806 | 5807 | 5808 | 5809 | 5811 | 5818 | 5820 | 5823 | 5825 | 5826 | 5828 | 5829 | 5832 | 5833 | 5835 | 5841 | 5845 | 5846 | 5847 | 6620 | 6622 | 6624 | 6626 | 8863
Седов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	46	10488 | 10722 | 10731 | 10736 | 10738 | 10746 | 10755 | 10757 | 10762 | 10764 | 10766 | 10768 | 10770 | 10772 | 10775 | 10781 | 10783 | 10785 | 10789 | 10791 | 10793 | 10795 | 10846 | 9087 | 9091 | 9093 | 9100 | 9102 | 9107 | 9110 | 9116 | 9118 | 9120 | 9122 | 9124 | 9132 | 9134 | 9136 | 9139 | 9143 | 9146 | 9148 | 9150 | 9152 | 9154 | 9156
Л.В. Николаева	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	42	1665 | 1666 | 2674 | 2675 | 2676 | 2677 | 2678 | 2679 | 2680 | 2681 | 2683 | 2684 | 2685 | 2694 | 2695 | 2697 | 2698 | 2699 | 3004 | 3005 | 3006 | 3016 | 3017 | 3018 | 3019 | 3020 | 3021 | 3022 | 3023 | 3041 | 3042 | 3109 | 3110 | 3111 | 3131 | 3132 | 3149 | 3173 | 3182 | 3212 | 3213 | 3226
Агранов	КРЕМЛЕВСКОЕ ДЕЛО	related_case	37	1704 | 4850 | 4868 | 4948 | 4958 | 4961 | 4968 | 4981 | 4992 | 5004 | 5009 | 5021 | 5029 | 5059 | 5061 | 5066 | 5073 | 5074 | 5077 | 5079 | 5084 | 5086 | 5152 | 5156 | 5159 | 5161 | 5172 | 5175 | 5186 | 5191 | 5206 | 5208 | 5216 | 5224 | 5232 | 5236 | 5237
Зиновьев	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	35	10133 | 11228 | 11405 | 11411 | 1442 | 1514 | 1516 | 1518 | 1528 | 1541 | 3276 | 3288 | 3334 | 3384 | 3915 | 4020 | 4421 | 4422 | 4423 | 4434 | 4435 | 4461 | 4522 | 4544 | 4571 | 4572 | 4575 | 4578 | 4580 | 4583 | 4771 | 4799 | 4803 | 6719 | 8993
Г.Е. Прокофьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	33	5360 | 5373 | 5376 | 5377 | 5381 | 5387 | 5393 | 5398 | 5400 | 5404 | 5426 | 5443 | 5454 | 5459 | 5469 | 5474 | 5477 | 5481 | 5491 | 5507 | 5508 | 5529 | 5535 | 5549 | 5605 | 5612 | 5613 | 5617 | 5621 | 5623 | 5625 | 5630 | 5631
Сталин	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	32	10133 | 10238 | 11228 | 11405 | 11411 | 11418 | 1528 | 1541 | 3276 | 3277 | 3288 | 3390 | 3391 | 3400 | 4068 | 4327 | 4338 | 4390 | 4444 | 4523 | 4554 | 4571 | 4575 | 4579 | 4793 | 4800 | 6719 | 6823 | 7248 | 7250 | 7391 | 9542
Г.И. Сафарова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	31	3277 | 3288 | 3365 | 3406 | 3414 | 3442 | 3450 | 3451 | 3904 | 3922 | 3936 | 3960 | 3983 | 3984 | 4022 | 4023 | 4024 | 4025 | 4068 | 4131 | 4355 | 4356 | 4357 | 4414 | 4460 | 4486 | 4538 | 4558 | 4561 | 4802 | 7248
Седов	ТРОЦКИЙ	person_dossier	31	11032 | 11036 | 11041 | 11277 | 11284 | 11286 | 11289 | 11291 | 11293 | 11295 | 11298 | 11300 | 11302 | 11304 | 11306 | 11308 | 11312 | 11316 | 11318 | 11323 | 11325 | 11327 | 11329 | 11331 | 11333 | 11335 | 11338 | 11341 | 11343 | 11346 | 11348
Радек	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	23	4288 | 4289 | 4290 | 5753 | 5754 | 5755 | 5769 | 5770 | 5776 | 5827 | 5835 | 5866 | 5904 | 5911 | 5919 | 5925 | 6312 | 6345 | 6527 | 7063 | 7190 | 7192 | 8863
Пятаков	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	20	5748 | 5749 | 5825 | 5828 | 5832 | 5838 | 5902 | 5909 | 5913 | 5917 | 5921 | 6309 | 6345 | 6350 | 6354 | 6357 | 6540 | 6947 | 6949 | 7222
Агранов	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	19	6609 | 7351 | 7915 | 8259 | 8464 | 8482 | 8509 | 8515 | 8545 | 8547 | 8553 | 8557 | 8559 | 8563 | 8574 | 8576 | 8592 | 8597 | 8707
Е.В. Цетлина	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	19	8253 | 8259 | 8515 | 8517 | 8545 | 8547 | 8549 | 8551 | 8553 | 8555 | 8557 | 8559 | 8561 | 8574 | 8576 | 8578 | 8580 | 8586 | 8590
Каменев	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	17	10004 | 11418 | 3288 | 3293 | 3362 | 3375 | 3425 | 4358 | 4393 | 4532 | 4570 | 7248 | 7250 | 7387 | 7389 | 7391 | 9542
Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	related_case	16	1735 | 4891 | 4893 | 4920 | 4933 | 4943 | 4948 | 4958 | 4970 | 4996 | 5011 | 5049 | 5061 | 5208 | 5209 | 5235
Л.Д. Троцкий	ТРОЦКИЙ	person_dossier	15	11032 | 11036 | 11041 | 11277 | 11284 | 11286 | 11289 | 11291 | 11293 | 11295 | 11298 | 11300 | 11302 | 11304 | 11306
Сокольников	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	15	4272 | 5722 | 5798 | 5807 | 5819 | 5838 | 5883 | 5900 | 5906 | 5912 | 6314 | 6357 | 7190 | 7740 | 7784
Г.Г. Ягода	КРЕМЛЕВСКОЕ ДЕЛО	related_case	13	1726 | 4850 | 4869 | 4891 | 5102 | 5108 | 5113 | 5124 | 5126 | 5137 | 5149 | 5239 | 5240
Е.К. Мухановой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	13	1735 | 4882 | 4896 | 4897 | 4911 | 4934 | 4947 | 4982 | 5084 | 5175 | 5177 | 5204 | 5235
И.И. Котолынова	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	13	2686 | 2689 | 2732 | 2733 | 2736 | 2738 | 3007 | 3008 | 3030 | 3031 | 3133 | 3191 | 3236
Л.Д. Троцкий	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	13	10846 | 10940 | 10969 | 10979 | 10982 | 10984 | 10987 | 10991 | 10996 | 10999 | 11001 | 11003 | 11006
А.И. Анишева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	12	3905 | 3916 | 3923 | 3941 | 3982 | 4090 | 4091 | 4092 | 4093 | 4321 | 4349 | 4415
Г.Е. Евдокимова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	12	3245 | 3340 | 3415 | 3920 | 3985 | 4360 | 4380 | 4381 | 4436 | 4477 | 4478 | 7250
И.С. Горшенина	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	12	3247 | 3291 | 3306 | 3333 | 3378 | 3436 | 3925 | 3986 | 4326 | 4440 | 4480 | 4537
В.А. Балицкого	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	11	6620 | 6622 | 6624 | 6626 | 6655 | 6663 | 6668 | 6677 | 6680 | 6685 | 6687
Г.Б. Синани-Скалов	КРЕМЛЕВСКОЕ ДЕЛО	related_case	11	5137 | 5161 | 9408 | 9411 | 9427 | 9429 | 9431 | 9433 | 9441 | 9443 | 9445
Г.Ф. Попова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	11	3255 | 3256 | 3274 | 3316 | 3317 | 3318 | 3421 | 3458 | 4058 | 4059 | 4070
Зиновьев	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	11	5265 | 5693 | 5718 | 5721 | 5766 | 5768 | 5786 | 6762 | 6776 | 6830 | 6842
М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	related_case	11	4942 | 4961 | 5022 | 5051 | 5073 | 5077 | 5089 | 5114 | 5152 | 5179 | 5192
М.М. Харитонова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	11	3390 | 3391 | 3419 | 3454 | 3921 | 3938 | 3987 | 4338 | 4391 | 6862 | 6864
Н.В. Голубенко	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	11	4270 | 5741 | 5749 | 5752 | 5795 | 5802 | 6210 | 6620 | 6622 | 6624 | 6650
Рыков	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	11	7609 | 7687 | 7691 | 7693 | 8151 | 8938 | 8946 | 8951 | 8954 | 8956 | 8959
Сталин	КРЕМЛЕВСКОЕ ДЕЛО	related_case	11	1726 | 1733 | 1734 | 4829 | 4835 | 4868 | 4869 | 5239 | 5240 | 8451 | 9822
А.М. Гертика	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	10	2707 | 3271 | 3289 | 3364 | 3999 | 4095 | 4322 | 4324 | 4476 | 4542
В.В. Румянцева	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	10	2696 | 2727 | 3009 | 3010 | 3011 | 3028 | 3029 | 3157 | 3172 | 3184
И.И. Рейнгольда	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	10	5672 | 5684 | 5700 | 5724 | 5728 | 5735 | 5737 | 5762 | 5763 | 5764
И.П. Бакаева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	10	3244 | 3296 | 3341 | 3366 | 4021 | 4064 | 4138 | 4395 | 4438 | 4439
Н.С. Антонова	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	10	2721 | 2722 | 2723 | 2731 | 2782 | 2783 | 2785 | 3136 | 3192 | 3210
П.А. Николаева	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	10	1344 | 1348 | 1349 | 1350 | 1351 | 1352 | 1353 | 808 | 809 | 810
Смирнов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	10	11155 | 4201 | 5483 | 5611 | 5627 | 5629 | 5731 | 5785 | 8173 | 8176
Членов	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	10	1441 | 4781 | 4782 | 4783 | 4786 | 4787 | 4789 | 4790 | 4791 | 4796
Б.Л. Браво	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	9	3262 | 3338 | 3339 | 3452 | 4029 | 4342 | 4348 | 4376 | 4377
В.А. Барута	КРЕМЛЕВСКОЕ ДЕЛО	related_case	9	4906 | 4935 | 4936 | 4957 | 4983 | 4995 | 5034 | 5050 | 5078
В.И. Звездова	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	9	2717 | 2726 | 2729 | 2730 | 2740 | 3015 | 3027 | 3154 | 3214
В.С. Левина	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	9	3012 | 3059 | 3060 | 3061 | 3113 | 3114 | 3188 | 3190 | 3228
Дмитриев	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	9	5396 | 5397 | 5400 | 5426 | 5509 | 5535 | 5569 | 5638 | 9955
К.К. Муханова	КРЕМЛЕВСКОЕ ДЕЛО	related_case	9	4949 | 4966 | 4967 | 4993 | 5004 | 5032 | 5075 | 5086 | 5155
М.А. Нырчука	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	9	5313 | 5318 | 5325 | 5329 | 5339 | 5346 | 5350 | 5434 | 5445
А.И. Толмазова	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	8	2735 | 2794 | 2996 | 3000 | 3014 | 3043 | 3047 | 3134
А.С. Енукидзе	КРЕМЛЕВСКОЕ ДЕЛО	related_case	8	10040 | 10058 | 1733 | 4843 | 9899 | 9920 | 9926 | 9930
Б.Н. Сахова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	8	3926 | 3961 | 4050 | 4055 | 4069 | 4390 | 4441 | 4523
Г.Г. Ягода	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	8	10133 | 11228 | 1541 | 3288 | 3390 | 3391 | 6823 | 6836
Г.Ф. Федорова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	8	3309 | 3376 | 3927 | 3928 | 3988 | 4133 | 4379 | 4459
И.Г. Юскина	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	8	2690 | 2692 | 2693 | 2724 | 3058 | 3151 | 3152 | 3176
И.И. Тарасова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	8	3336 | 3337 | 3363 | 3402 | 3455 | 4027 | 4134 | 4327
Киров	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	8	3248 | 3335 | 3404 | 3405 | 4097 | 4323 | 4324 | 4421
Н.И. Мухина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	8	5321 | 5322 | 5324 | 5326 | 5327 | 5333 | 5341 | 5347
С.В. Мрачковский	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	8	10123 | 4664 | 4772 | 5263 | 5673 | 5704 | 5731 | 5751
С.М. Гессена	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	8	3261 | 3385 | 3437 | 3962 | 4030 | 4323 | 4458 | 4803
А.С. Куклина	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	7	3308 | 3361 | 3903 | 4028 | 4484 | 4800 | 4801
Агранов	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	7	5697 | 5715 | 5839 | 6457 | 7365 | 7410 | 7437
Астров	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	7	8228 | 8231 | 8237 | 8509 | 8513 | 8617 | 9004
В.В. Кузьмина	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	7	7662 | 7995 | 8217 | 8464 | 8469 | 8471 | 8473
В.М. Попова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	7	5274 | 5280 | 5281 | 5282 | 5283 | 5443 | 5465
В.Ф. Логинова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	7	4269 | 5747 | 5767 | 5901 | 6626 | 6642 | 6663
