person	document_count	total_words	first_date	last_date	organization_diversity	family_diversity	process_diversity	collection_diversity	document_type_diversity	institutional_breadth_score	centrality_score	top_families	top_organizations	top_processes	top_collections	top_document_types	interpretation_note
Каменев	26	38366	1932-10-09T09:44:57	1936-08-14T08:10:00	11	5	3	3	6	41	188	party_apparatus:17 | security_apparatus:15 | press_media:9 | international:5 | state_apparatus:2	ВКП(б):16 | ГУГБ:13 | НКВД:13 | ЦК ВКП(б):11 | Правда:7 | Политбюро:5 | Коминтерн:5 | КПК:3 | Известия:3 | ЦИК СССР:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:17 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | КРЕМЛЕВСКОЕ ДЕЛО:4	МАТЕРИАЛЫ СЛЕДСТВИЯ:17 | ДРУГИЕ ДОКУМЕНТЫ:8 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1	interrogation_protocol:8 | letter:7 | special_report:7 | statement:2 | reference_note:1 | session_transcript:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Седов	78	27106	1930-02-24T08:28:45	1935-05-04T13:22:48	4	4	3	4	3	29	186	press_media:4 | party_apparatus:3 | security_apparatus:1 | international:1	Правда:4 | ВКП(б):3 | ГУГБ:1 | Коминтерн:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:46 | ТРОЦКИЙ:31 | КРЕМЛЕВСКОЕ ДЕЛО:1	ОЛЬБЕРГ:45 | ТРОЦКИЙ:31 | ДРУГИЕ ДОКУМЕНТЫ:1 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	letter:76 | interrogation_protocol:1 | telegram:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Дмитриев	17	22493	1934-12-24T05:00:00	1936-09-14T02:36:00	12	6	3	2	4	42	183	party_apparatus:11 | security_apparatus:9 | press_media:3 | state_apparatus:3 | judicial_apparatus:2 | international:2	ВКП(б):11 | ГУГБ:9 | ЦК ВКП(б):7 | Правда:3 | НКИД:2 | Коминтерн:2 | Прокуратура СССР:1 | Известия:1 | Политбюро:1 | Верховный Суд СССР:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:9 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:16 | ДРУГИЕ ДОКУМЕНТЫ:1	interrogation_protocol:11 | special_report:4 | letter:1 | memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.И. Сафарова	32	21611	1934-12-16T05:00:00	1935-08-17T13:16:00	10	6	2	2	4	38	180	security_apparatus:27 | international:15 | party_apparatus:9 | press_media:3 | state_apparatus:3 | judicial_apparatus:1	ГУГБ:27 | НКВД:26 | Коминтерн:15 | ВКП(б):8 | ЦК ВКП(б):4 | Правда:3 | Совнарком:3 | ИККИ:2 | Верховный Суд СССР:1 | Политбюро:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:31 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:30 | ДРУГИЕ ДОКУМЕНТЫ:2	interrogation_protocol:27 | letter:3 | special_report:1 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Е. Прокофьева	33	66272	1936-02-23T01:42:00	1936-05-20T02:10:00	13	6	1	2	1	36	176	party_apparatus:33 | security_apparatus:31 | international:8 | press_media:3 | judicial_apparatus:2 | state_apparatus:2	ВКП(б):33 | ГУГБ:31 | ЦК ВКП(б):31 | НКВД:9 | Коминтерн:8 | Правда:3 | ИККИ:2 | КПК:2 | КПК при ЦК ВКП(б):1 | Верховный Суд СССР:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:33	МАТЕРИАЛЫ СЛЕДСТВИЯ:32 | СПРАВКА:1	special_report:33	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Рыков	18	132826	1936-08-19T22:12:49	1937-07-19T13:17:20	9	5	3	3	7	40	174	party_apparatus:16 | press_media:10 | state_apparatus:9 | security_apparatus:5 | international:2	ВКП(б):16 | ЦК ВКП(б):12 | Политбюро:9 | Совнарком:9 | Правда:8 | Известия:6 | НКВД:4 | Коминтерн:2 | ГУГБ:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:11 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:7 | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.:6 | ДРУГИЕ ДОКУМЕНТЫ:5	session_transcript:6 | special_report:3 | letter:3 | memo_note:2 | statement:2 | draft_project:1 | speech:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Членов	14	12991	1927-12-18T07:56:18	1937-03-07T15:27:20	9	5	4	3	6	41	174	security_apparatus:12 | party_apparatus:12 | press_media:2 | state_apparatus:1 | international:1	ВКП(б):12 | НКВД:10 | ГУГБ:4 | ЦК ВКП(б):4 | Правда:2 | НКИД:1 | Известия:1 | Коминтерн:1 | ИНО ГУГБ:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ДРУГИЕ ДОКУМЕНТЫ:11 | МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | БУХАРИН:1	summary:7 | special_report:3 | interrogation_protocol:1 | memo_note:1 | statement:1 | reference_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Сокольников	18	28690	1934-12-23T00:00:00	1937-02-04T10:49:23	11	5	3	2	4	38	169	party_apparatus:17 | security_apparatus:13 | press_media:8 | state_apparatus:3 | international:1	ВКП(б):16 | ЦК ВКП(б):16 | ГУГБ:12 | НКВД:12 | Известия:8 | Политбюро:4 | НКИД:2 | Правда:1 | КПК:1 | Совнарком:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:15 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:17 | БУХАРИН:1	special_report:12 | interrogation_protocol:3 | letter:2 | confrontation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.П. Бакаева	13	19263	1934-12-14T01:00:00	1936-08-14T06:10:00	11	6	2	1	3	37	159	security_apparatus:11 | party_apparatus:10 | international:6 | press_media:5 | state_apparatus:3 | judicial_apparatus:1	ВКП(б):10 | ГУГБ:10 | НКВД:8 | ЦК ВКП(б):7 | Правда:5 | Коминтерн:4 | ИККИ:3 | Политбюро:2 | ЦИК СССР:2 | Совнарком:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:13	interrogation_protocol:9 | special_report:3 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Е.В. Цетлина	20	22781	1933-03-04T15:56:45	1936-12-22T00:29:00	10	5	2	2	4	35	158	party_apparatus:15 | international:5 | state_apparatus:5 | security_apparatus:1 | press_media:1	ВКП(б):15 | ЦК ВКП(б):14 | Совнарком:5 | ИККИ:3 | КПК:2 | Коминтерн:2 | ГУГБ:1 | НКВД:1 | Политбюро:1 | Правда:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ПРЕДЫСТОРИЯ:19 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	statement:10 | special_report:6 | letter:3 | administrative_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.Я. Вышинский	10	12440	1935-03-22T13:14:00	1937-01-24T14:26:11	8	4	4	4	6	38	158	party_apparatus:10 | security_apparatus:5 | press_media:4 | judicial_apparatus:1	ВКП(б):9 | ЦК ВКП(б):8 | НКВД:5 | Правда:4 | ГУГБ:2 | КПК:1 | Прокуратура СССР:1 | Политбюро:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:5 | ДРУГИЕ ДОКУМЕНТЫ:3 | БУХАРИН:1 | СПРАВКА:1	administrative_report:3 | letter:2 | special_report:2 | draft_project:1 | plan_instruction:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.М. Каганович	11	8913	1932-10-04T15:20:04	1937-01-30T13:02:35	10	4	4	2	4	36	155	party_apparatus:11 | international:3 | security_apparatus:3 | press_media:2	ВКП(б):11 | ЦК ВКП(б):10 | Коминтерн:3 | Политбюро:2 | ГУГБ:2 | НКВД:2 | Правда:2 | ИККИ:1 | КПК при ЦК ВКП(б):1 | КПК:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ДРУГИЕ ДОКУМЕНТЫ:6 | МАТЕРИАЛЫ СЛЕДСТВИЯ:5	letter:4 | memo_note:4 | statement:2 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Смирнов	10	33838	1929-07-11T12:33:25	1936-08-23T18:39:00	12	5	1	2	5	36	154	party_apparatus:8 | security_apparatus:5 | press_media:4 | international:3 | state_apparatus:1	ВКП(б):8 | ЦК ВКП(б):6 | ГУГБ:4 | Правда:4 | НКВД:3 | Коминтерн:3 | ЦИК СССР:1 | ИККИ:1 | Совнарком:1 | Известия:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:10	МАТЕРИАЛЫ СЛЕДСТВИЯ:7 | ДРУГИЕ ДОКУМЕНТЫ:3	special_report:4 | letter:2 | statement:2 | interrogation_protocol:1 | testimony:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.С. Сосновского	5	15337	1936-08-24T13:35:34	1936-12-07T10:07:03	10	5	3	3	4	38	154	party_apparatus:5 | press_media:4 | security_apparatus:2 | international:1 | state_apparatus:1	ВКП(б):4 | ЦК ВКП(б):4 | Правда:3 | Известия:3 | Политбюро:3 | КПК:2 | НКВД:2 | Коминтерн:1 | ГУГБ:1 | Совнарком:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:3 | БУХАРИН:1 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	session_transcript:2 | telegram:1 | special_report:1 | memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Астров	8	26892	1933-02-16T13:53:46	1937-02-16T09:59:48	10	5	2	3	5	37	153	party_apparatus:7 | security_apparatus:2 | state_apparatus:2 | press_media:2 | international:2	ВКП(б):7 | ЦК ВКП(б):4 | Политбюро:3 | ГУГБ:2 | НКВД:2 | Совнарком:2 | Правда:2 | Коминтерн:2 | Известия:1 | ИККИ:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:7 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ПРЕДЫСТОРИЯ:5 | МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | БУХАРИН:1	special_report:3 | interrogation_protocol:2 | testimony:1 | session_transcript:1 | confrontation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Т.И. Глебовой	9	12357	1933-04-01T11:54:30	1936-11-09T18:39:00	10	5	3	2	3	36	151	party_apparatus:6 | security_apparatus:6 | press_media:5 | international:1 | state_apparatus:1	Правда:5 | ВКП(б):4 | НКВД:4 | ЦК ВКП(б):3 | Политбюро:2 | ГУГБ:2 | Коминтерн:1 | ИККИ:1 | КПК:1 | НКИД:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5 | КРЕМЛЕВСКОЕ ДЕЛО:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	ДРУГИЕ ДОКУМЕНТЫ:8 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	letter:6 | interrogation_protocol:2 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.И. Рейнгольда	11	25768	1934-12-18T09:00:00	1936-08-16T00:10:00	10	6	2	1	2	35	148	security_apparatus:11 | party_apparatus:11 | international:8 | state_apparatus:2 | judicial_apparatus:1 | press_media:1	ГУГБ:11 | ВКП(б):10 | НКВД:9 | ЦК ВКП(б):9 | Коминтерн:8 | Политбюро:7 | Совнарком:2 | Верховный Суд СССР:1 | Правда:1 | Известия:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:10 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:11	special_report:7 | interrogation_protocol:4	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.В. Николаева	43	18345	1934-12-03T13:20:38	1934-12-25T00:00:00	6	4	2	2	2	26	143	security_apparatus:42 | party_apparatus:15 | press_media:2 | international:1	ГУГБ:42 | НКВД:37 | ВКП(б):15 | Правда:2 | ЦК ВКП(б):1 | Коминтерн:1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:42 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:42 | ДРУГИЕ ДОКУМЕНТЫ:1	interrogation_protocol:42 | list:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.Ф. Шкирятову	8	11590	1935-02-12T15:38:23	1937-02-06T19:15:18	11	4	2	2	4	33	141	party_apparatus:7 | state_apparatus:6 | security_apparatus:1 | press_media:1	ВКП(б):7 | ЦК ВКП(б):6 | ЦИК СССР:5 | КПК при ЦК ВКП(б):3 | КПК:3 | Секретариат ЦИК СССР:2 | Политбюро:2 | Совнарком:1 | НКИД:1 | НКВД:1	КРЕМЛЕВСКОЕ ДЕЛО:7 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:6 | ДРУГИЕ ДОКУМЕНТЫ:2	memo_note:4 | statement:2 | letter:1 | explanation:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Е.К. Мухановой	13	14945	1935-02-10T01:00:00	1935-04-27T00:10:00	9	5	1	2	4	32	138	security_apparatus:12 | party_apparatus:10 | press_media:2 | international:1 | state_apparatus:1	ГУГБ:12 | ВКП(б):10 | Политбюро:3 | ЦК ВКП(б):3 | НКВД:3 | Правда:2 | Коминтерн:1 | ЦИК СССР:1 | КПК:1	КРЕМЛЕВСКОЕ ДЕЛО:13	МАТЕРИАЛЫ СЛЕДСТВИЯ:12 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1	interrogation_protocol:7 | confrontation_protocol:3 | special_report:2 | reference_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.А. Молчанова	8	19488	1933-03-19T22:24:02	1937-03-27T15:37:52	8	4	3	3	4	33	137	party_apparatus:7 | security_apparatus:6 | press_media:2 | international:1	ВКП(б):7 | ГУГБ:6 | ЦК ВКП(б):6 | НКВД:4 | Правда:2 | Политбюро:2 | Коминтерн:1 | ИНО ГУГБ:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	ДРУГИЕ ДОКУМЕНТЫ:3 | ПРЕДЫСТОРИЯ:3 | МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:5 | statement:1 | interrogation_protocol:1 | administrative_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Молотов	6	8481	1936-03-16T13:33:46	1936-12-04T00:29:00	9	5	2	2	2	32	131	party_apparatus:5 | security_apparatus:3 | press_media:2 | international:1 | state_apparatus:1	ВКП(б):5 | ЦК ВКП(б):4 | ГУГБ:3 | НКВД:2 | Правда:1 | ИНО ГУГБ:1 | Известия:1 | Совнарком:1 | Коминтерн:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:3 | ДРУГИЕ ДОКУМЕНТЫ:3	special_report:3 | letter:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
