current_path	proposed_path	phase	artifact_type	commit_group	mtime_iso	notes
diagnose-showtrials-corpus-inventory.py	scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-inventory.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-corpus-sizing-chunking-d1.py	scripts/d-structural-chunking/diagnose-showtrials-corpus-sizing-chunking-d1.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-09 22:18:00	planned move only; do not move yet
diagnose-showtrials-corpus-statistics.py	scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-statistics.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-date-audit.py	scripts/c-catalog-taxonomy/diagnose-showtrials-date-audit.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-document-collections.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-collections.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-document-index.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-index.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-document-types-v2.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v2.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-document-types-v3.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v3.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-document-types-v4.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v4.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-document-types.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-entity-anomalies.py	scripts/e-semantic-layer/diagnose-showtrials-entity-anomalies.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-entity-cleanup.py	scripts/e-semantic-layer/diagnose-showtrials-entity-cleanup.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-entity-inventory.py	scripts/e-semantic-layer/diagnose-showtrials-entity-inventory.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-master-catalog.py	scripts/c-catalog-taxonomy/diagnose-showtrials-master-catalog.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-page-hierarchy.py	scripts/c-catalog-taxonomy/diagnose-showtrials-page-hierarchy.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-page-links.py	scripts/c-catalog-taxonomy/diagnose-showtrials-page-links.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-person-aliases.py	scripts/e-semantic-layer/diagnose-showtrials-person-aliases.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-person-normalization.py	scripts/e-semantic-layer/diagnose-showtrials-person-normalization.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-post-metadata.py	scripts/c-catalog-taxonomy/diagnose-showtrials-post-metadata.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-search-corpus.py	scripts/b-json-export-search/diagnose-showtrials-search-corpus.py	B json-export-search	scripts	b-json-export-search-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-semantic-baseline.sh	scripts/e-semantic-layer/diagnose-showtrials-semantic-baseline.sh	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
diagnose-showtrials-semantic-layer.py	scripts/e-semantic-layer/diagnose-showtrials-semantic-layer.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
diagnose-showtrials-special-report-packages-d3-1.py	scripts/d-structural-chunking/diagnose-showtrials-special-report-packages-d3-1.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-09 23:50:46	planned move only; do not move yet
diagnose-showtrials-structural-chunking-d2.py	scripts/d-structural-chunking/diagnose-showtrials-structural-chunking-d2.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-09 22:45:11	planned move only; do not move yet
diagnose-showtrials-structural-samples-d2-2.py	scripts/d-structural-chunking/diagnose-showtrials-structural-samples-d2-2.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-09 23:21:41	planned move only; do not move yet
diagnose-showtrials-tag-process-audit.py	scripts/e-semantic-layer/diagnose-showtrials-tag-process-audit.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-taxonomy-terms.py	scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy-terms.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-taxonomy.py	scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-text-cleanliness.py	scripts/c-catalog-taxonomy/diagnose-showtrials-text-cleanliness.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-title-entities.py	scripts/e-semantic-layer/diagnose-showtrials-title-entities.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-translation-cost.py	scripts/t-translation-planning/diagnose-showtrials-translation-cost.py	T translation-planning	scripts	t-translation-planning-scripts	2026-06-09 21:13:01	planned move only; do not move yet
diagnose-showtrials-translation-glossary-freeze-readiness.py	scripts/g-glossary/diagnose-showtrials-translation-glossary-freeze-readiness.py	G glossary	scripts	g-glossary-scripts	2026-06-09 22:01:06	planned move only; do not move yet
diagnose-showtrials-truncated-persons.py	scripts/e-semantic-layer/diagnose-showtrials-truncated-persons.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-unmerged-persons.py	scripts/e-semantic-layer/diagnose-showtrials-unmerged-persons.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
doc-8863.md	docs/a-extraction/doc-8863.md	A extraction	docs	a-extraction-docs	2026-06-09 21:12:30	planned move only; do not move yet
doc-8863.txt	reports/a-extraction/doc-8863.txt	A extraction	reports	a-extraction-reports	2026-06-09 21:12:30	planned move only; do not move yet
enrich-showtrials-translation-glossary-g3.py	scripts/g-glossary/enrich-showtrials-translation-glossary-g3.py	G glossary	scripts	g-glossary-scripts	2026-06-09 21:42:00	planned move only; do not move yet
finalize-showtrials-translation-glossary-g4-1.py	scripts/g-glossary/finalize-showtrials-translation-glossary-g4-1.py	G glossary	scripts	g-glossary-scripts	2026-06-09 22:09:11	planned move only; do not move yet
pages-page-1.json	data/b-json-export-search/pages-page-1.json	B json-export-search	data	b-json-export-search-data	2026-06-09 21:12:30	planned move only; do not move yet
plan-showtrials-chunking-blueprint-v1.py	scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-09 23:21:42	planned move only; do not move yet
plan-showtrials-chunking-blueprint-v1_1.py	scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1_1.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-10 00:25:54	planned move only; do not move yet
plan-showtrials-translation-profiles-v1.py	scripts/t-translation-planning/plan-showtrials-translation-profiles-v1.py	T translation-planning	scripts	t-translation-planning-scripts	2026-06-09 21:14:23	planned move only; do not move yet
posts-page-1.json	data/b-json-export-search/posts-page-1.json	B json-export-search	data	b-json-export-search-data	2026-06-09 21:12:30	planned move only; do not move yet
radek-results.tsv	data/b-json-export-search/radek-results.tsv	B json-export-search	data	b-json-export-search-data	2026-06-09 21:12:30	one-off search result; review before moving
repo-current-filelist.txt	data/r-governance/inventory/repo-current-filelist.txt	R governance	governance/inventory	r-governance-inventory	2026-06-10 00:49:56	governance inventory artifact
repo-file-metadata.tsv	data/r-governance/inventory/repo-file-metadata.tsv	R governance	governance/inventory	r-governance-inventory		governance inventory artifact
review-showtrials-person-aliases.py	scripts/e-semantic-layer/review-showtrials-person-aliases.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
review-showtrials-truncated-persons.py	scripts/e-semantic-layer/review-showtrials-truncated-persons.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
search-showtrials.py	scripts/b-json-export-search/search-showtrials.py	B json-export-search	scripts	b-json-export-search-scripts	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-audit.py	scripts/a-extraction/showtrials-audit.py	A extraction	scripts	a-extraction-scripts	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-doc.py	scripts/b-json-export-search/showtrials-doc.py	B json-export-search	scripts	b-json-export-search-scripts	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-export-texts.py	scripts/b-json-export-search/showtrials-export-texts.py	B json-export-search	scripts	b-json-export-search-scripts	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-family-stats.py	scripts/e-semantic-layer/showtrials-family-stats.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
showtrials-pages-inventory.tsv	data/c-catalog-taxonomy/showtrials-pages-inventory.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-posts-inventory.tsv	data/c-catalog-taxonomy/showtrials-posts-inventory.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-search-v2.py	scripts/b-json-export-search/showtrials-search-v2.py	B json-export-search	scripts	b-json-export-search-scripts	2026-06-09 21:12:31	planned move only; do not move yet
showtrials-search.py	scripts/b-json-export-search/showtrials-search.py	B json-export-search	scripts	b-json-export-search-scripts	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-stats.py	scripts/a-extraction/showtrials-stats.py	A extraction	scripts	a-extraction-scripts	2026-06-09 21:12:30	planned move only; do not move yet
showtrials-timeline.py	scripts/c-catalog-taxonomy/showtrials-timeline.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_attachment_taxonomy_crosswalk_d3_1a.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_crosswalk_d3_1a.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:03:10	planned move only; do not move yet
showtrials_attachment_taxonomy_d3_1a.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:03:10	planned move only; do not move yet
showtrials_attachment_taxonomy_d3_1a_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-10 00:03:10	planned move only; do not move yet
showtrials_attachment_taxonomy_d3_1a_validation.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a_validation.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:03:13	planned move only; do not move yet
showtrials_attachment_taxonomy_d3_1a_validation_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a_validation_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-10 00:03:13	planned move only; do not move yet
showtrials_attachment_taxonomy_d3_1b.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_d3_1b.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:17:06	planned move only; do not move yet
showtrials_attachment_taxonomy_refinement_d3_1b.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:17:06	planned move only; do not move yet
showtrials_attachment_taxonomy_refinement_d3_1b_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-10 00:17:06	planned move only; do not move yet
showtrials_attachment_taxonomy_refinement_d3_1b_validation.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b_validation.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:17:25	planned move only; do not move yet
showtrials_attachment_taxonomy_refinement_d3_1b_validation_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b_validation_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-10 00:17:25	planned move only; do not move yet
showtrials_author_audit.tsv	data/c-catalog-taxonomy/showtrials_author_audit.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_author_audit_report.txt	reports/c-catalog-taxonomy/showtrials_author_audit_report.txt	C catalog-taxonomy	reports	c-catalog-taxonomy-reports	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_canonical_people.tsv	data/e-semantic-layer/showtrials_canonical_people.tsv	E semantic-layer	data	e-semantic-layer-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_canonical_people_report.txt	reports/e-semantic-layer/showtrials_canonical_people_report.txt	E semantic-layer	reports	e-semantic-layer-reports	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_canonical_person_documents.tsv	data/e-semantic-layer/showtrials_canonical_person_documents.tsv	E semantic-layer	data	e-semantic-layer-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_canonical_person_pairs.tsv	data/e-semantic-layer/showtrials_canonical_person_pairs.tsv	E semantic-layer	data	e-semantic-layer-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_categories.json	data/c-catalog-taxonomy/showtrials_categories.json	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_category_tree.tsv	data/c-catalog-taxonomy/showtrials_category_tree.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_category_tree_report.txt	reports/c-catalog-taxonomy/showtrials_category_tree_report.txt	C catalog-taxonomy	reports	c-catalog-taxonomy-reports	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_chunking_blueprint_v1.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-09 23:22:34	planned move only; do not move yet
showtrials_chunking_blueprint_v1_1.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1_1.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:26:04	planned move only; do not move yet
showtrials_chunking_blueprint_v1_1_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_1_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-10 00:26:04	planned move only; do not move yet
showtrials_chunking_blueprint_v1_1_validation.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1_1_validation.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-10 00:26:09	planned move only; do not move yet
showtrials_chunking_blueprint_v1_1_validation_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_1_validation_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-10 00:26:09	planned move only; do not move yet
showtrials_chunking_blueprint_v1_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-09 23:22:34	planned move only; do not move yet
showtrials_chunking_blueprint_v1_validation.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1_validation.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-09 23:22:40	planned move only; do not move yet
showtrials_chunking_blueprint_v1_validation_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_validation_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-09 23:22:40	planned move only; do not move yet
showtrials_chunking_policy_recommendations_d1.tsv	data/d-structural-chunking/showtrials_chunking_policy_recommendations_d1.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-09 22:18:01	planned move only; do not move yet
showtrials_chunking_policy_v1_1.txt	reports/d-structural-chunking/showtrials_chunking_policy_v1_1.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-10 00:26:04	planned move only; do not move yet
showtrials_collection_inventory.tsv	data/c-catalog-taxonomy/showtrials_collection_inventory.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_audit_documents.tsv	data/c-catalog-taxonomy/showtrials_corpus_audit_documents.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_audit_report.txt	reports/c-catalog-taxonomy/showtrials_corpus_audit_report.txt	C catalog-taxonomy	reports	c-catalog-taxonomy-reports	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_audit_summary.tsv	data/c-catalog-taxonomy/showtrials_corpus_audit_summary.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_inventory_report.txt	reports/c-catalog-taxonomy/showtrials_corpus_inventory_report.txt	C catalog-taxonomy	reports	c-catalog-taxonomy-reports	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_largest_documents.tsv	data/c-catalog-taxonomy/showtrials_corpus_largest_documents.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_sizing_by_document_d1.tsv	data/t-translation-planning/showtrials_corpus_sizing_by_document_d1.tsv	T translation-planning	data	t-translation-planning-data	2026-06-09 22:18:01	planned move only; do not move yet
showtrials_corpus_sizing_by_document_type_d1.tsv	data/t-translation-planning/showtrials_corpus_sizing_by_document_type_d1.tsv	T translation-planning	data	t-translation-planning-data	2026-06-09 22:18:01	planned move only; do not move yet
showtrials_corpus_sizing_by_process_d1.tsv	data/t-translation-planning/showtrials_corpus_sizing_by_process_d1.tsv	T translation-planning	data	t-translation-planning-data	2026-06-09 22:18:01	planned move only; do not move yet
showtrials_corpus_sizing_chunking_d1_report.txt	reports/d-structural-chunking/showtrials_corpus_sizing_chunking_d1_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-09 22:18:01	planned move only; do not move yet
showtrials_corpus_sizing_chunking_d1_validation.tsv	data/d-structural-chunking/showtrials_corpus_sizing_chunking_d1_validation.tsv	D structural-chunking	data	d-structural-chunking-data	2026-06-09 22:18:15	planned move only; do not move yet
showtrials_corpus_sizing_chunking_d1_validation_report.txt	reports/d-structural-chunking/showtrials_corpus_sizing_chunking_d1_validation_report.txt	D structural-chunking	reports	d-structural-chunking-reports	2026-06-09 22:18:15	planned move only; do not move yet
showtrials_corpus_smallest_documents.tsv	data/c-catalog-taxonomy/showtrials_corpus_smallest_documents.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_statistics_by_collection.tsv	data/c-catalog-taxonomy/showtrials_corpus_statistics_by_collection.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_statistics_by_process.tsv	data/e-semantic-layer/showtrials_corpus_statistics_by_process.tsv	E semantic-layer	data	e-semantic-layer-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_statistics_by_tag.tsv	data/c-catalog-taxonomy/showtrials_corpus_statistics_by_tag.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_statistics_overview.tsv	data/c-catalog-taxonomy/showtrials_corpus_statistics_overview.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_corpus_statistics_report.txt	reports/c-catalog-taxonomy/showtrials_corpus_statistics_report.txt	C catalog-taxonomy	reports	c-catalog-taxonomy-reports	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_date_audit_report.txt	reports/c-catalog-taxonomy/showtrials_date_audit_report.txt	C catalog-taxonomy	reports	c-catalog-taxonomy-reports	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_date_outliers.tsv	data/c-catalog-taxonomy/showtrials_date_outliers.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
showtrials_dates_by_month.tsv	data/c-catalog-taxonomy/showtrials_dates_by_month.tsv	C catalog-taxonomy	data	c-catalog-taxonomy-data	2026-06-09 21:12:30	planned move only; do not move yet
