document_type	documents	chars	d1_recommendation	expected_structure	primary_chunk_unit	secondary_chunk_unit	target_chunk_chars	soft_max_chars	hard_max_chars	preserve_boundaries	fallback_strategy	manual_review_required	blueprint_status	notes
telegram	15	27564	light_chunking_by_paragraph_or_section	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
plan_instruction	3	26029	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	4200	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
autobiography	1	18165	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3300	4500	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
plea_pardon	2	17747	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
questionnaire_response	2	16713	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
correspondence	2	15848	light_chunking_by_paragraph_or_section	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3000	4500	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
article	2	15684	standard_structural_chunking	article title + prose sections + paragraphs	article_section_or_paragraph_block	paragraph	3300	4500	5000	article sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
summary	7	14715	translate_whole_document	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3200	4500	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
interrogation_extract	1	14237	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
decree_resolution	3	9970	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	4200	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
poem	1	8927	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	3000	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
medical_act	1	6240	light_chunking_by_paragraph_or_section	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
data_extract	2	3202	translate_whole_document	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	3000	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
search_protocol	1	2204	translate_whole_document	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=header_body_attachments
