document_post_id	document_type	pattern	document_title	sample
8442	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	Ведь Верховный Совет уже знает. I мужчина: Они могут в течение пяти дней решать вопрос. II мужчина: Зачем ему затягивать, если вопрос был уже решен, что вас расстреляют. Это – другие соображения. Скажите, когда решался вопрос о расстреле, так для
8442	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-14T19:03:54 zapis-razgovorov-po-obektu-v-87-31 СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № ] НКВД СССР ГУГБ ДВЕНА
8442	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	хотят. II мужчина: Ведь вам дадут свидание. I мужчина: Кто сказал? II мужчина: Прокурор. I мужчина: Нарком сказал, что свидания не будет. ( играют в шахматы ) Начальник 1 отделения 12 отдела ГУГБ НКВД Капитан гос. безопасности: Юшин ( ЮШИН ) Опубл
8442	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-14T19:03:54 zapis-razgovorov-po-obektu-v-87-31 СРОЧНО СТРОГО СЕКРЕТНО
8440	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-13T19:02:20 zapis-razgovorov-po-obektu-v-87-30 СРОЧНО [Штамп: ДОЛОЖЕНО] СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 12-1
8440	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-13T19:02:20 zapis-razgovorov-po-obektu-v-87-30 СРОЧНО [Штамп: ДОЛОЖЕН
8438	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	на суде не признал. Я написал и совершенно ничего не понимаю. II мужчина: Если вопрос решен – зачем это? I мужчина: Николай Иванович мне говорил, что никого… II мужчина: (пауза) Я начинаю пугаться за себя. I мужчина: Я не знаю, на что они намека
8438	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-13T18:58:18 zapis-razgovorov-po-obektu-v-87-29 СРОЧНО [Штамп: ДОЛОЖЕНО] СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 12-1
8438	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	евести, и я не знаю, что задерживают. Давно есть распоряжение, чтобы перевести. Следователь вас уже не будет вызывать? I мужчина: Сказал, что вызовет, а я думаю, что не вызовет. Мало ли что говорилось, все наоборот. ( ходит по камере, молчание ) II му
8438	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-13T18:58:18 zapis-razgovorov-po-obektu-v-87-29 СРОЧНО [Штамп: ДОЛОЖЕН
8715	plea_pardon	question_answer_markers	Прошения Н.И. Бухарина в Президиум Верховного Совета СССР о помиловании	меры Н. Бухарина, второе прошение о помиловании было написано им по предложению В.Е. Цесарского (который, по-видимому, занимал на тот момент должность начальника 4 (секретно-политического) отдела 1 управления НКВД) утром 13 марта 1938 г. и пе
8715	plea_pardon	date_headers	Прошения Н.И. Бухарина в Президиум Верховного Совета СССР о помиловании	ошения Н.И. Бухарина в Президиум Верховного Совета СССР о помиловании ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-13T08:08:24 prosheniya-n-i-buharina-v-prezidium-verhovnogo-soveta-sssr-o-pomilovanii В Президиум Верховного Совета приговоренно
8715	plea_pardon	list_density	Прошения Н.И. Бухарина в Президиум Верховного Совета СССР о помиловании	Прошения Н.И. Бухарина в Президиум Верховного Совета СССР о помиловании ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-13T08:08:24 prosheniya-n-i-buharina-v-prez
8169	draft_project	question_answer_markers	Черновые варианты последнего слова Н.И. Бухарина на процессе правотроцкистского центра	зменники социалистической родине. I. В чем я виновен В самом начале процесса на вопрос гражданина председателя суда, признаю ли я себя виновным, я ответил: Признаю в размерах, данных мною на предварительном следствии показаний . На {последов<авши
8169	draft_project	date_headers	Черновые варианты последнего слова Н.И. Бухарина на процессе правотроцкистского центра	последнего слова Н.И. Бухарина на процессе правотроцкистского центра ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-12T22:08:53 chernovye-varianty-poslednego-slova-n-i-buharina-na-proczesse-pravotroczkistskogo-czentra Последнее слово подсудимо
8169	draft_project	signature_markers	Черновые варианты последнего слова Н.И. Бухарина на процессе правотроцкистского центра	: Что это такое, как не завуалированное признание? 18 год . Весь инц<идент> я … Прокурор говорит: вынужден был. “Бухарин ничего не привел”. Как же так? I. Главн<ая> свидетельница – Яковлева. Она относит все к до-брестск<ому> миру: 1) чтобы была над
8169	draft_project	list_density	Черновые варианты последнего слова Н.И. Бухарина на процессе правотроцкистского центра	Черновые варианты последнего слова Н.И. Бухарина на процессе правотроцкистского центра ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-12T22:08:53 chernovye-
8436	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	то я сознаю и чего не сознаю. Что тут вообще особенного? II мужчина: Да вот это вопрос о блоке. I мужчина: Я говорю, что это не группа. II мужчина: Правильно, это политический ответ. “С которыми я не имел никакой связи”. Если бы так написали, что
8436	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-12T18:56:20 zapis-razgovorov-po-obektu-v-87-28 СРОЧНО [Штамп: ДОЛОЖЕНО] СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 12-1
8436	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-12T18:56:20 zapis-razgovorov-po-obektu-v-87-28 СРОЧНО [Штамп: ДОЛОЖЕН
8434	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-11T18:53:57 zapis-razgovorov-po-obektu-v-87-27 СРОЧНО [Штамп: ДОЛОЖЕНО] СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 12-1
8434	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-11T18:53:57 zapis-razgovorov-po-obektu-v-87-27 СРОЧНО [Штамп: ДОЛОЖЕН
8432	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	если жизнь остается, конечно. Если идет речь о смерти, то у человека возникает вопрос, как умрешь. Если связана речь со смертью, то необходимо все рассказать, а если не расскажешь, то у тебя что-то останется на горбу, и никто об этом не узнает.
8432	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-10T18:51:04 zapis-razgovorov-po-obektu-v-87-26 СРОЧНО [Штамп: ДОЛОЖЕНО] СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 12-1
8432	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-10T18:51:04 zapis-razgovorov-po-obektu-v-87-26 СРОЧНО [Штамп: ДОЛОЖЕН
8430	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	Конечно, могла. II мужчина: Я помню, в воспоминаниях Николая, вот забыл, стоял вопрос о престолонаследии. Она не могла быть царицей? I мужчина: Ну что же, значит, были более сильные претенденты. Я не знаю, когда именно произошло законодательство
8430	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-10T12:31:27 zapis-razgovorov-po-obektu-v-87-25 СРОЧНО [Штамп: ДОЛОЖЕНО] СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 12-1
8430	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	азад сказал, что следствие заканчивается, что я, маленький, что ли? II мужчина: Прокурор берет приблизительно, это зависит от других инстанций. Идет по твердо установленному плану. I мужчина: Эти формальные порядки прокурор устанавливает. II мужчин
8430	conversation_recording	salutation_markers	Запись разговоров по объекту “В-87”	йте, пожалуйста. II мужчина: Что значит по-французски “мон шер фер”? I мужчина: Дорогой брат. ( читают ) 17.30 Прочитайте еще что-нибудь, Николай Иванович? I мужчина: Я начал читать уже Шекспира “Сон в летнюю ночь”. II мужчина: Ну что же, я подсуд
8430	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-10T12:31:27 zapis-razgovorov-po-obektu-v-87-25 СРОЧНО [Штамп: ДОЛОЖЕН
8428	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	именно? I мужчина: Что через несколько дней я не буду жить. II мужчина: Это еще вопрос. ( пауза ) I мужчина: Все утро продолжался допрос, а вечером было заседание. II мужчина: А экспертиза тоже утром была? ( не ответил ) I мужчина: Быстрее шло, ч
8428	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-09T12:26:14 zapis-razgovorov-po-obektu-v-87-24 СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 12-16 ] НКВД СССР ГУГБ
8428	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-09T12:26:14 zapis-razgovorov-po-obektu-v-87-24 СРОЧНО СТРОГО СЕКРЕТНО
8426	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-08T12:17:21 zapis-razgovorov-po-obektu-v-87-23 СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД СССР ГУГБ ДВЕНАДЦАТЫЙ ОТДЕЛ 1-е
8426	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	много. II мужчина: Насчет Куйбышева говорили? I мужчина: Насчет всего говорили. Секретарь Буланов утверждает, что Горький убит из политических соображений, и то не совсем, а что Менжинский – по личному соображению Ягоды, тут получается такой круг, и
8426	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-08T12:17:21 zapis-razgovorov-po-obektu-v-87-23 СРОЧНО СТРОГО СЕКРЕТНО
8424	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	I мужчина: Бывает, но редко. II мужчина: Это бывает, когда бывает неоткровенный ответ. ( пауза ) Когда его … посадили в галошу, не было смеха? I мужчина: Ну что вы. II мужчина: А прокурор начал его вытаскивать, спасать? I мужчина: Да. II мужчина
8424	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-07T12:10:08 zapis-razgovorov-po-obektu-v-87-22 СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД СССР ГУГБ ДВЕНАДЦАТЫЙ ОТДЕЛ 1-е
8424	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	я. Ну, для этого надо иметь данные, а иначе его сделали бы смешным. II мужчина: Прокурор как? I мужчина: Мне кажется, что он немножко обижается. II мужчина: С чего сегодня начался допрос? I мужчина: Я начал продолжать свои показания. II мужчина: Ва
8424	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-07T12:10:08 zapis-razgovorov-po-obektu-v-87-22 СРОЧНО СТРОГО СЕКРЕТНО
8422	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	лучилось. II мужчина: начали сдавать. I мужчина: Да. II мужчина: Меня китайский вопрос больше интересует, чем испанский. По-моему, Испания большое политическое значение имеет. I мужчина: Я не могу сказать. Испания – это очень серьезное дело. Если
8422	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-06T16:36:42 zapis-razgovorov-po-obektu-v-87-21 СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД СССР ГУГБ ДВЕНАДЦАТЫЙ ОТДЕЛ 1-е
8422	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-06T16:36:42 zapis-razgovorov-po-obektu-v-87-21 СРОЧНО СТРОГО СЕКРЕТНО
8420	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	танавливался на квартире у него, там как раз была эта тетя Соня. Прокурор задал вопрос: “Расскажите об этом случае с тетей Соней”. Я говорю: “Если вас, прокурора, интересует эта трепня, то я обязан вам рассказать”. Опять спрашивает: “Почему вы, в
8420	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-05T16:26:06 zapis-razgovorov-po-obektu-v-87-20 СРОЧНО [Штамп: ДОЛОЖЕНО] [Штамп: Дело № 12-16 ] СТРОГО СЕКРЕТНО Контроль лит.
8420	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	Сашей [1] , останавливался на квартире у него, там как раз была эта тетя Соня. Прокурор задал вопрос: “Расскажите об этом случае с тетей Соней”. Я говорю: “Если вас, прокурора, интересует эта трепня, то я обязан вам рассказать”. Опять спрашивает:
8420	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-05T16:26:06 zapis-razgovorov-po-obektu-v-87-20 СРОЧНО [Штамп: ДОЛОЖЕН
8164	draft_project	question_answer_markers	Варианты выступления Н.И. Бухарина во время допроса на судебном процессе правотроцкистского центра	речь идет о “прогрессивном человечестве”, может {с удивлением спросить} задать вопрос, как люди моего уровня, сидевшие в капиталистических тюрьмах разных стран, {очу<тились>} превратились в ожесточеннейших контрреволюционеров, в изменников социа
8164	draft_project	date_headers	Варианты выступления Н.И. Бухарина во время допроса на судебном процессе правотроцкистского центра	арина во время допроса на судебном процессе правотроцкистского центра ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-05T10:55:06 varianty-vystupleniya-n-i-buharina-vo-vremya-doprosa-na-sudebnom-proczesse-pravotroczkistskogo-czentra Введение [1]
8164	draft_project	list_density	Варианты выступления Н.И. Бухарина во время допроса на судебном процессе правотроцкистского центра	Варианты выступления Н.И. Бухарина во время допроса на судебном процессе правотроцкистского центра ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-05T10:55:0
8418	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-04T16:23:13 zapis-razgovorov-po-obektu-v-87-19 СРОЧНО [Штамп: ДОЛОЖЕНО] [Штамп: Дело № 12-16 ] СТРОГО СЕКРЕТНО Контроль лит.
8418	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-04T16:23:13 zapis-razgovorov-po-obektu-v-87-19 СРОЧНО [Штамп: ДОЛОЖЕН
8159	statement	date_headers	Заявление Н.И. Бухарина следователю НКВД Л.В. Когану	Заявление Н.И. Бухарина следователю НКВД Л.В. Когану ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-04T09:59:22 zayavlenie-n-i-buharina-sledovatelyu-nkvd-l-v-koganu Лазарь Вениаминович , Т.к. мне неудобно говорить при других, а
8159	statement	list_density	Заявление Н.И. Бухарина следователю НКВД Л.В. Когану	Заявление Н.И. Бухарина следователю НКВД Л.В. Когану ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин Бухарин 1938-03-04T09:59:22 zayavlenie-n-i-buharina-sledovatelyu-nkvd-l-v-koga
8416	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-03T09:32:18 zapis-razgovorov-po-obektu-v-87-18 СРОЧНО [Штамп: Дело № 1216 ] СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД СССР ГУГБ
8416	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	суде? I мужчина: Не знаю. II мужчина: Военный? I мужчина: Военный. II мужчина: Прокурор и два защитника, они тоже там сидят, или прокурор внизу? I мужчина: Нет, прокурор наверху, у него есть особое место. II мужчина: Папиросы возьмите. Книги не бе
8416	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-03T09:32:18 zapis-razgovorov-po-obektu-v-87-18 СРОЧНО [Штамп: Дело №
8414	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-02T09:22:47 zapis-razgovorov-po-obektu-v-87-17 СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” [Штамп: Дело № 1216 ] НКВД СССР ГУГБ
8414	conversation_recording	signature_markers	Запись разговоров по объекту “В-87”	л. II мужчина: Он признал себя виновным? I мужчина: Нет, не совсем. II мужчина: Следователь высказался удовлетворительно по Вашему заключению? I мужчина: Ничего. II мужчина: Ну а как, когда читали обвинительное заключение? I мужчина: Когда читали, то
8414	conversation_recording	attachment_markers	Запись разговоров по объекту “В-87”	на: А Вы знаете, кого будут допрашивать? I мужчина: Знаю. Первого Иванова. Весь список есть, но ни следователь не знает, ни я, я не записал – не успел. II мужчина: Большой список? I мужчина: Ну да. Весь список всех обвиняемых, в каком порядке доп
8414	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-02T09:22:47 zapis-razgovorov-po-obektu-v-87-17 СРОЧНО СТРОГО СЕКРЕТНО
8410	memo_note	date_headers	Докладная записка Н.Д. Зарицкого следователю Л.В. Когану	Докладная записка Н.Д. Зарицкого следователю Л.В. Когану ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-01T07:59:05 dokladnaya-zapiska-n-d-zariczkogo-sledovatelyu-l-v-koganu [Штамп: ДОЛОЖЕНО] [Штамп: Дело № 1216 ] МАЙОРУ ГОСУДАРС
8410	memo_note	list_density	Докладная записка Н.Д. Зарицкого следователю Л.В. Когану	Докладная записка Н.Д. Зарицкого следователю Л.В. Когану ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-01T07:59:05 dokladnaya-zapiska-n-d-zariczkogo-sledo
8407	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	, вы для меня дороги”. Я говорю – знаете, я не могу вам сейчас ответить на этот вопрос. Я, между прочим, никогда не хитрил. Ну, она не стала и спрашивать. Вот Рахиль была интересная, мне нравилась и сейчас нравится, она тогда была девушкой, не по
8407	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-01T07:52:23 zapis-razgovorov-po-obektu-v-87-16 [Штамп: ДОЛОЖЕНО] СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД СССР ГУГБ ДВЕН
8407	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-03-01T07:52:23 zapis-razgovorov-po-obektu-v-87-16 [Штамп: ДОЛОЖЕНО] СРОЧ
8405	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	онимаете, почему? II мужчина: Все равно на процесс нужно идти, надо решать этот вопрос, чтобы не дрожать. Нужно решать, по какому пути идти. Ведь это будет величайшее преступление, если вы пойдете по тому пути, вам нельзя этого делать. I мужчина:
8405	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-02-28T07:47:05 zapis-razgovorov-po-obektu-v-87-15 СРОЧНО СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД СССР ГУГБ ДВЕНАДЦАТЫЙ ОТДЕЛ 1-е
8405	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-02-28T07:47:05 zapis-razgovorov-po-obektu-v-87-15 СРОЧНО СТРОГО СЕКРЕТНО
8385	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-02-27T12:45:16 zapis-razgovorov-po-obektu-v-87-14 [Штамп: ДОЛОЖЕНО] [Штамп: Дело № 1216 ] СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД
8385	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-02-27T12:45:16 zapis-razgovorov-po-obektu-v-87-14 [Штамп: ДОЛОЖЕНО] [Шта
8375	conversation_recording	question_answer_markers	Запись разговоров по объекту “В-87”	ые: заговор альтернативы, М. Век ХХ и мир. 2021 г., с. 287-291. [1] Речь идет о В.Ф. Шаранговиче . [2] По официальной версии, А.А. Слуцкий умер 17 февраля 1938 г. “на боевом посту”. Ему было 40 лет.
8375	conversation_recording	date_headers	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-02-26T16:53:38 zapis-razgovorov-po-obektu-v-87-13 [Штамп: ДОЛОЖЕНО] [Штамп: Дело № 1216 ] СТРОГО СЕКРЕТНО Контроль лит. “Н” НКВД
8375	conversation_recording	list_density	Запись разговоров по объекту “В-87”	Запись разговоров по объекту “В-87” ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Прослушка Бухарин 1938-02-26T16:53:38 zapis-razgovorov-po-obektu-v-87-13 [Штамп: ДОЛОЖЕНО] [Шта
